Time (sec),Force X (N),Force Y (N),Force Z (N),Torque X (Nm),Torque Y (Nm),Torque Z (Nm),Forktip Pose X (m),Forktip Pose Y (m),Forktip Pose Z (m),Forktip Pose Roll (rad),Forktip Pose Pitch (rad),Forktip Pose Yaw (rad)
1637705117.06393,,,,,,,-0.3915394117165706,0.011254836160105974,0.07007121354783252,1.4128964403240136,0.24094204601407238,-0.43745686917051135
1637705117.0639799,,,,,,,-0.3922832856537207,0.014157515915761698,0.07015698099939982,1.4100001904417199,0.23353415990266857,-0.4640647218229167
1637705117.0712085,1.9038530000480991,-1.1281489413351669,2.121634013381575,0.00091899278380956964,0.0011436718151842135,-0.00026719965391464387,,,,,,
1637705117.0739558,,,,,,,-0.39328017090126144,0.017747026093696022,0.07066490567805117,1.40663187105949,0.2216761796695443,-0.4955111279732278
1637705117.0812361,2.1412822260675095,-1.2213939492499521,2.2671842764799894,0.00091634668307352478,0.0012375130089283823,-0.00030019122321287006,,,,,,
1637705117.0839646,,,,,,,-0.39399267148471495,0.021282762237763292,0.07084080946598303,1.4052145600792294,0.21633898059677814,-0.5264838524199884
1637705117.0912442,2.1768309746384578,-1.1910748235033739,2.2428569518601673,0.00093096647652409371,0.0012840491334432033,-0.00024720133964825294,,,,,,
1637705117.093921,,,,,,,-0.3946330190586237,0.024838869536512098,0.07088236862269737,1.4037255664279802,0.2094911491277106,-0.5565064071460168
1637705117.101267,2.2666465909501001,-1.3251818126617358,2.2144995383565345,0.0008962340631011082,0.0014174216056450388,-0.0002870849833546685,,,,,,
1637705117.1039646,,,,,,,-0.39537325583497906,0.02866718184766759,0.07114744321738065,1.4016324317558886,0.1982911556475575,-0.5860987941325434
1637705117.1111565,2.484082440481437,-1.6008260146988018,1.9809456566297445,0.0010657216815154072,0.0015495872650363829,-0.00023296525152641592,,,,,,
1637705117.114082,,,,,,,-0.39641984854203177,0.03435196805356863,0.07114680088760605,1.4032947854274538,0.1814879980227996,-0.62890059498701
1637705117.1141384,,,,,,,-0.39667365015453016,0.0359806995384839,0.07118268148590534,1.404004296892609,0.176991747633678,-0.6406023144780109
1637705117.1211572,2.4512786172484491,-1.8678208749470311,1.7039815790783361,0.0013856390282588112,0.0014862802519784763,-0.00023194838808913987,,,,,,
1637705117.123986,,,,,,,-0.3972556980710722,0.03987471958511907,0.07107365856182479,1.404967290564322,0.17147085136623333,-0.6681841949582952
1637705117.131181,2.5495834833749651,-2.074334008333353,2.0176657269783718,0.0015054457346422062,0.0013919797454514681,-0.0002823396206473906,,,,,,
1637705117.1339126,,,,,,,-0.3979583484583968,0.0437454149534548,0.07115000486223144,1.4078811554759285,0.1626833924060864,-0.6945762140533633
1637705117.141201,2.3052445821710483,-2.2453378682366374,1.2769789827069165,0.0015126833623256189,0.0013118788804119845,-0.0002650529422137324,,,,,,
1637705117.143941,,,,,,,-0.398893598549566,0.04759107321410794,0.07054281464681855,1.4156489440248319,0.1511825562213278,-0.7203515632134898
1637705117.151218,2.0576800559626438,-2.1954964359784817,1.6725282032533642,0.0015379367709899559,0.001299322505617456,-0.00027827216689829334,,,,,,
1637705117.1540065,,,,,,,-0.39984961026635424,0.05189370077930508,0.07068268004033718,1.4186366079215798,0.14326367973216644,-0.7489923759586878
1637705117.161233,2.1448686256352043,-2.1000710884234306,1.602980256566413,0.0014200960256744494,0.0011787102727361682,-0.00025624012575735725,,,,,,
1637705117.1639354,,,,,,,-0.4015049775966413,0.058738539456604386,0.07103715166307645,1.4228827465099685,0.1310248093486248,-0.7929849013767221
1637705117.163979,,,,,,,-0.40209952355708445,0.06111690140864537,0.07114590944905641,1.425426886310405,0.12718136730101764,-0.8079849896935911
1637705117.1712573,2.0098652376195583,-2.0484197301989147,1.010752912402216,0.0014079888341846274,0.0011847665464534843,-0.0002729618800591978,,,,,,
1637705117.1739645,,,,,,,-0.403231143956686,0.06585699953344681,0.07221468018438126,1.4256499571807197,0.12189279559972031,-0.839023654073591
1637705117.1812756,2.2640833802617903,-2.1628617458098898,1.0614137096403162,0.0013940303565670319,0.0012005824617325525,-0.00028764990748648966,,,,,,
1637705117.183971,,,,,,,-0.40439192785932954,0.07069765767750587,0.07271244217066686,1.4253371176081928,0.10648380885404163,-0.8667780702316549
1637705117.1911469,2.2625386976100459,-2.1792602517368387,0.8709275106652417,0.0014614069607502174,0.0012013869794641593,-0.00024279493142006364,,,,,,
1637705117.193957,,,,,,,-0.40535906782632725,0.07541367248505844,0.07421056253235625,1.4214661585058008,0.10367763574058025,-0.8953723455624176
1637705117.2011647,2.3360602365964449,-2.3195387214913237,0.793621865288042,0.0015658382198945684,0.0013278254604372564,-0.00025680504988917496,,,,,,
1637705117.2039518,,,,,,,-0.40535282533344225,0.0800019665425998,0.07682569268476269,1.399204853146797,0.09237968902074638,-0.9140188793224548
1637705117.2111835,2.4851338964056922,-2.5073265244276497,0.9629033912949865,0.0016508489172625213,0.0014126534467603221,-0.0002547713230146263,,,,,,
1637705117.2140145,,,,,,,-0.407862147092635,0.08600594732666884,0.07747751158166216,1.414329086078189,0.08536589139033988,-0.9546419375340988
1637705117.214081,,,,,,,-0.40759546091546495,0.08967176116417805,0.08032179348511237,1.391228276607094,0.09226186147227844,-0.9713590552987671
1637705117.2212,2.5553518502722965,-2.5044151726853494,0.7541127599171755,0.0016849713435906741,0.0013973897833115892,-0.00025465833818826347,,,,,,
1637705117.2240252,,,,,,,-0.4088465399926648,0.09463969906977045,0.08220937345998336,1.38784971743619,0.0912671760776298,-0.9994148284133558
1637705117.2312143,2.6653525343799744,-2.3486211957230445,0.971755352529847,0.0016344171545606629,0.0014646149385015232,-0.00028832781644467023,,,,,,
1637705117.2339694,,,,,,,-0.41033772336348917,0.09977592241059255,0.08421506869701578,1.3879410744018876,0.09849959994334437,-1.0308079067871538
